customer_id,name,phone,email,region,plan_tier,contract_type,payment_method,tenure_months,monthly_charges,total_charges,call_minutes_m1,call_minutes_m2,call_minutes_m3,data_gb_m1,data_gb_m2,data_gb_m3,recharge_count_m1,recharge_count_m2,recharge_count_m3,support_calls_m1,support_calls_m2,support_calls_m3,churn
CUST-10020,Customer 21,+91-98765-10020,user21@example.com,South,Prepaid Unlimited,Month-to-Month,Mailed Check,1,1173.11,1168.7,236.4,376.4,599.5,11.6,18.4,29.3,1,3,5,8,3,2,0
CUST-10021,Customer 22,+91-98765-10021,user22@example.com,Central,Prepaid Unlimited,Month-to-Month,Auto-Debit,49,678.75,32989.37,903.1,908.4,913.8,28.9,29.0,29.2,1,1,2,2,1,0,0
CUST-10022,Customer 23,+91-98765-10022,user23@example.com,West,Prepaid Basic,Month-to-Month,UPI/Credit Card,25,709.62,17252.67,352.4,475.6,642.0,52.2,70.5,95.1,1,1,2,6,1,1,1
CUST-10023,Customer 24,+91-98765-10023,user24@example.com,North,Postpaid Premium,Month-to-Month,Mailed Check,10,532.36,5415.85,171.3,305.1,543.7,20.6,36.7,65.4,1,2,5,5,3,2,0
CUST-10024,Customer 25,+91-98765-10024,user25@example.com,North,Prepaid Unlimited,One Year,Mailed Check,16,973.34,15960.82,790.0,798.5,807.2,19.4,19.6,19.8,4,4,5,3,2,2,0
CUST-10025,Customer 26,+91-98765-10025,user26@example.com,East,Prepaid Unlimited,Month-to-Month,Electronic Check,58,676.48,40438.73,990.9,971.6,952.8,76.5,75.1,73.6,3,3,3,2,2,1,0
CUST-10026,Customer 27,+91-98765-10026,user27@example.com,East,Prepaid Basic,Month-to-Month,Auto-Debit,29,400.25,10609.88,382.3,400.9,420.3,66.9,70.2,73.6,4,4,5,3,2,1,0
CUST-10027,Customer 28,+91-98765-10027,user28@example.com,South,Postpaid Standard,Month-to-Month,Auto-Debit,6,1121.01,6902.33,171.7,236.2,324.9,36.1,49.7,68.3,1,1,2,6,1,1,0
CUST-10028,Customer 29,+91-98765-10028,user29@example.com,West,Prepaid Unlimited,Month-to-Month,UPI/Credit Card,16,1148.3,20038.25,198.4,360.4,654.6,5.4,9.8,17.8,1,2,5,5,1,0,1
CUST-10029,Customer 30,+91-98765-10029,user30@example.com,West,Prepaid Basic,Month-to-Month,Electronic Check,20,730.99,14739.64,581.1,564.8,549.0,46.4,45.1,43.8,2,2,2,1,0,0,0
CUST-10030,Customer 31,+91-98765-10030,user31@example.com,East,Prepaid Basic,One Year,Electronic Check,71,391.07,28961.39,928.9,959.1,990.3,14.2,14.6,15.1,1,1,1,3,2,2,0
CUST-10031,Customer 32,+91-98765-10031,user32@example.com,West,Prepaid Unlimited,Two Year,Mailed Check,43,810.56,35249.55,540.0,527.9,516.1,86.4,84.5,82.6,5,5,5,3,3,2,0
CUST-10032,Customer 33,+91-98765-10032,user33@example.com,West,Prepaid Unlimited,One Year,Mailed Check,26,829.8,23105.49,182.1,174.3,166.9,73.3,70.2,67.2,2,2,2,1,1,1,0
CUST-10033,Customer 34,+91-98765-10033,user34@example.com,North,Prepaid Basic,Month-to-Month,Mailed Check,71,1101.41,84918.8,394.1,621.3,979.6,21.4,33.7,53.2,1,2,4,6,3,2,1
CUST-10034,Customer 35,+91-98765-10034,user35@example.com,East,Postpaid Premium,Two Year,UPI/Credit Card,33,677.5,20945.49,908.9,883.7,859.2,39.8,38.7,37.6,3,3,3,3,3,2,0
CUST-10035,Customer 36,+91-98765-10035,user36@example.com,Central,Prepaid Basic,One Year,UPI/Credit Card,26,1118.12,28704.01,271.5,265.9,260.4,23.5,23.0,22.5,2,2,2,2,2,1,0
CUST-10036,Customer 37,+91-98765-10036,user37@example.com,East,Prepaid Unlimited,One Year,Mailed Check,45,1344.79,59213.04,865.7,889.6,914.1,14.3,14.7,15.1,4,4,5,2,1,0,0
CUST-10037,Customer 38,+91-98765-10037,user38@example.com,Central,Postpaid Premium,Month-to-Month,Electronic Check,63,583.98,36093.3,417.5,412.0,406.6,99.7,98.4,97.1,5,5,5,2,1,0,0
CUST-10038,Customer 39,+91-98765-10038,user39@example.com,North,Prepaid Unlimited,Month-to-Month,UPI/Credit Card,67,1473.7,91342.91,285.0,353.8,439.4,15.6,19.3,24.0,1,1,1,4,1,0,1
CUST-10039,Customer 40,+91-98765-10039,user40@example.com,South,Prepaid Unlimited,Month-to-Month,Electronic Check,52,762.64,42144.71,898.7,907.2,915.8,10.5,10.6,10.7,3,3,4,4,3,2,0
CUST-10040,Customer 41,+91-98765-10040,user41@example.com,West,Prepaid Unlimited,Month-to-Month,Electronic Check,68,619.71,38227.69,576.3,576.7,577.1,96.3,96.3,96.4,1,1,2,1,1,1,0
CUST-10041,Customer 42,+91-98765-10041,user42@example.com,North,Prepaid Basic,Month-to-Month,Auto-Debit,26,804.81,21043.19,154.3,185.9,224.0,39.4,47.5,57.2,2,3,4,4,1,0,1
CUST-10042,Customer 43,+91-98765-10042,user43@example.com,West,Postpaid Premium,Month-to-Month,Mailed Check,2,412.28,851.26,196.6,291.5,432.2,36.7,54.4,80.7,1,1,1,6,2,2,1
CUST-10043,Customer 44,+91-98765-10043,user44@example.com,South,Prepaid Unlimited,Month-to-Month,Auto-Debit,14,449.85,5929.43,719.2,734.4,749.9,8.8,9.0,9.2,2,2,3,3,2,1,0
CUST-10044,Customer 45,+91-98765-10044,user45@example.com,South,Postpaid Standard,One Year,Mailed Check,30,796.32,25828.72,243.8,250.2,256.8,55.9,57.4,58.9,3,3,4,2,1,0,0
CUST-10045,Customer 46,+91-98765-10045,user46@example.com,North,Prepaid Basic,Month-to-Month,Mailed Check,49,1213.93,63510.13,227.2,378.7,631.2,15.4,25.7,42.8,1,1,1,4,0,0,1
CUST-10046,Customer 47,+91-98765-10046,user47@example.com,South,Prepaid Basic,Month-to-Month,Electronic Check,12,1379.37,16456.71,380.9,525.7,725.7,41.1,56.7,78.3,1,1,2,6,1,1,1
CUST-10047,Customer 48,+91-98765-10047,user48@example.com,Central,Prepaid Basic,Two Year,Mailed Check,44,1096.78,47400.76,416.3,412.9,409.5,8.8,8.8,8.7,3,3,3,2,2,2,0
CUST-10048,Customer 49,+91-98765-10048,user49@example.com,South,Prepaid Unlimited,Two Year,Electronic Check,33,425.26,13294.2,664.9,694.1,724.5,39.6,41.4,43.2,4,4,5,2,2,2,0
CUST-10049,Customer 50,+91-98765-10049,user50@example.com,West,Prepaid Unlimited,One Year,Electronic Check,13,1105.42,15031.48,894.1,895.0,895.8,80.7,80.8,80.9,1,1,1,2,1,0,0
CUST-10050,Customer 51,+91-98765-10050,user51@example.com,West,Postpaid Standard,Two Year,Mailed Check,26,1061.51,25566.54,537.5,531.2,524.9,56.0,55.4,54.7,5,5,5,2,2,1,0
CUST-10051,Customer 52,+91-98765-10051,user52@example.com,West,Prepaid Unlimited,Month-to-Month,Electronic Check,21,1265.92,27542.62,257.1,338.1,444.6,33.1,43.6,57.3,1,2,3,4,2,2,1
CUST-10052,Customer 53,+91-98765-10052,user53@example.com,West,Postpaid Premium,Two Year,Electronic Check,28,1289.3,38572.97,306.9,316.3,326.0,13.4,13.8,14.2,1,1,1,3,2,1,0
CUST-10053,Customer 54,+91-98765-10053,user54@example.com,Central,Prepaid Basic,Month-to-Month,Electronic Check,48,1340.84,60865.19,380.8,495.1,643.8,10.4,13.5,17.6,1,1,1,3,1,1,1
CUST-10054,Customer 55,+91-98765-10054,user55@example.com,East,Postpaid Standard,Month-to-Month,UPI/Credit Card,40,795.96,34171.69,868.5,880.1,891.9,67.5,68.4,69.3,2,2,3,1,0,0,0
CUST-10055,Customer 56,+91-98765-10055,user56@example.com,North,Postpaid Standard,Month-to-Month,Electronic Check,66,1136.44,68004.42,242.7,308.5,392.2,42.8,54.4,69.1,1,1,2,6,1,1,1
CUST-10056,Customer 57,+91-98765-10056,user57@example.com,West,Postpaid Standard,Month-to-Month,UPI/Credit Card,23,620.9,15459.68,199.4,301.7,456.6,42.8,64.8,98.0,1,1,1,6,1,1,0
CUST-10057,Customer 58,+91-98765-10057,user58@example.com,South,Postpaid Standard,Month-to-Month,UPI/Credit Card,48,1498.2,66424.61,307.7,378.6,466.0,47.9,59.0,72.6,1,2,3,4,1,1,1
CUST-10058,Customer 59,+91-98765-10058,user59@example.com,West,Postpaid Standard,One Year,Electronic Check,2,509.4,1048.5,598.7,601.7,604.7,51.4,51.6,51.9,3,3,4,3,3,2,0
CUST-10059,Customer 60,+91-98765-10059,user60@example.com,South,Prepaid Unlimited,One Year,Electronic Check,20,311.14,5911.76,275.8,290.3,305.6,78.0,82.1,86.4,4,4,5,1,0,0,0
CUST-10060,Customer 61,+91-98765-10060,user61@example.com,South,Prepaid Basic,Month-to-Month,UPI/Credit Card,59,477.57,30073.21,885.4,862.4,840.0,15.7,15.3,14.9,1,1,1,1,0,0,0
CUST-10061,Customer 62,+91-98765-10061,user62@example.com,West,Prepaid Basic,Month-to-Month,UPI/Credit Card,46,1230.05,56721.5,135.4,222.6,366.0,17.6,29.0,47.7,1,2,4,4,2,1,1
CUST-10062,Customer 63,+91-98765-10062,user63@example.com,Central,Postpaid Premium,One Year,Electronic Check,3,835.14,2322.65,783.2,758.6,734.8,34.4,33.3,32.3,1,1,1,2,1,1,0
CUST-10063,Customer 64,+91-98765-10063,user64@example.com,South,Prepaid Unlimited,One Year,Electronic Check,55,836.0,46632.84,566.5,564.2,561.9,15.0,15.0,14.9,2,2,2,2,2,2,0
CUST-10064,Customer 65,+91-98765-10064,user65@example.com,South,Postpaid Standard,Month-to-Month,Mailed Check,12,1445.03,17020.89,394.1,497.2,627.3,48.7,61.4,77.5,1,2,3,3,1,0,0
CUST-10065,Customer 66,+91-98765-10065,user66@example.com,West,Prepaid Unlimited,One Year,UPI/Credit Card,40,1402.56,57913.92,272.3,266.9,261.6,55.7,54.6,53.5,1,1,1,3,3,2,0
CUST-10066,Customer 67,+91-98765-10066,user67@example.com,South,Prepaid Basic,Month-to-Month,UPI/Credit Card,66,672.43,47770.18,484.3,607.3,761.5,36.8,46.2,57.9,1,2,3,3,1,0,1
CUST-10067,Customer 68,+91-98765-10067,user68@example.com,South,Prepaid Basic,Month-to-Month,Mailed Check,16,549.87,8638.48,293.7,281.5,269.8,48.0,46.0,44.1,1,1,1,4,3,2,0
CUST-10068,Customer 69,+91-98765-10068,user69@example.com,West,Prepaid Unlimited,Two Year,UPI/Credit Card,34,1317.18,42902.12,203.9,203.0,202.1,49.1,48.9,48.7,2,2,2,2,2,1,0
CUST-10069,Customer 70,+91-98765-10069,user70@example.com,West,Prepaid Unlimited,Month-to-Month,Auto-Debit,44,1386.22,55071.38,310.1,428.4,592.0,8.4,11.6,16.0,1,1,2,5,2,2,1
CUST-10070,Customer 71,+91-98765-10070,user71@example.com,North,Prepaid Basic,Month-to-Month,UPI/Credit Card,6,948.92,5778.74,407.2,548.3,738.4,38.0,51.2,68.9,2,2,4,5,1,1,1
CUST-10071,Customer 72,+91-98765-10071,user72@example.com,Central,Prepaid Unlimited,Two Year,Mailed Check,64,1054.31,66157.02,131.7,138.2,145.0,41.9,43.9,46.1,1,1,2,1,0,0,0
CUST-10072,Customer 73,+91-98765-10072,user73@example.com,Central,Prepaid Basic,One Year,Auto-Debit,22,607.3,13025.65,172.5,167.4,162.5,87.7,85.1,82.6,3,3,3,2,1,0,0
CUST-10073,Customer 74,+91-98765-10073,user74@example.com,South,Prepaid Unlimited,Month-to-Month,Electronic Check,18,1259.96,21241.12,447.8,606.9,822.4,12.9,17.4,23.6,1,1,2,6,2,1,1
CUST-10074,Customer 75,+91-98765-10074,user75@example.com,Central,Prepaid Basic,Month-to-Month,Mailed Check,12,1057.55,12513.07,356.0,543.0,828.1,10.5,16.1,24.5,1,1,1,6,1,0,1
CUST-10075,Customer 76,+91-98765-10075,user76@example.com,South,Postpaid Standard,Month-to-Month,Mailed Check,52,903.22,51518.04,124.1,199.5,320.8,25.6,41.2,66.3,1,1,2,6,3,2,1
CUST-10076,Customer 77,+91-98765-10076,user77@example.com,North,Prepaid Unlimited,One Year,Electronic Check,51,371.13,18162.02,595.3,623.8,653.7,77.8,81.5,85.4,2,2,3,2,2,1,0
CUST-10077,Customer 78,+91-98765-10077,user78@example.com,West,Prepaid Unlimited,Month-to-Month,Mailed Check,71,1398.12,101245.98,273.5,369.4,498.9,27.4,36.9,49.9,1,1,1,6,1,0,1
CUST-10078,Customer 79,+91-98765-10078,user79@example.com,West,Prepaid Basic,Month-to-Month,UPI/Credit Card,48,1037.54,52555.84,437.0,540.9,669.4,48.4,59.9,74.1,2,3,4,4,2,2,1
CUST-10079,Customer 80,+91-98765-10079,user80@example.com,West,Prepaid Basic,Two Year,Electronic Check,19,530.23,10576.39,802.7,838.8,876.6,91.5,95.6,99.9,3,3,4,4,3,2,0
CUST-10080,Customer 81,+91-98765-10080,user81@example.com,Central,Prepaid Unlimited,Month-to-Month,Mailed Check,6,1026.66,5949.01,89.6,124.1,171.9,51.6,71.5,99.1,2,2,4,5,0,0,1
CUST-10081,Customer 82,+91-98765-10081,user82@example.com,North,Prepaid Unlimited,Month-to-Month,Electronic Check,27,1111.96,30688.59,445.6,597.1,800.2,42.2,56.5,75.7,1,1,1,5,0,0,1
CUST-10082,Customer 83,+91-98765-10082,user83@example.com,Central,Prepaid Unlimited,Month-to-Month,Electronic Check,53,929.92,52945.37,253.3,371.1,543.7,35.1,51.4,75.3,1,2,4,4,2,2,0
CUST-10083,Customer 84,+91-98765-10083,user84@example.com,Central,Prepaid Basic,One Year,Electronic Check,48,1160.72,50315.23,664.7,635.6,607.7,31.2,29.8,28.5,2,2,2,3,2,1,0
CUST-10084,Customer 85,+91-98765-10084,user85@example.com,North,Prepaid Unlimited,Month-to-Month,Auto-Debit,7,996.74,6887.5,306.5,459.3,688.5,37.5,56.2,84.2,1,1,1,3,1,0,1
CUST-10085,Customer 86,+91-98765-10085,user86@example.com,North,Postpaid Standard,Month-to-Month,Mailed Check,59,1436.32,80069.71,325.6,550.4,930.4,15.2,25.7,43.5,1,1,1,6,1,0,1
CUST-10086,Customer 87,+91-98765-10086,user87@example.com,North,Postpaid Standard,One Year,Auto-Debit,69,363.44,24518.8,161.4,156.1,151.0,103.0,99.7,96.4,1,1,1,2,2,1,0
CUST-10087,Customer 88,+91-98765-10087,user88@example.com,North,Prepaid Basic,Month-to-Month,Mailed Check,11,426.49,4612.56,83.0,102.5,126.5,8.3,10.3,12.7,3,4,5,4,2,1,1
CUST-10088,Customer 89,+91-98765-10088,user89@example.com,West,Prepaid Unlimited,Month-to-Month,UPI/Credit Card,15,507.41,7986.64,181.0,217.1,260.4,32.3,38.7,46.4,2,2,3,5,0,0,1
CUST-10089,Customer 90,+91-98765-10089,user90@example.com,East,Prepaid Basic,Month-to-Month,UPI/Credit Card,64,1127.21,66280.98,410.5,636.8,987.8,24.0,37.3,57.8,2,3,5,4,1,1,0
CUST-10090,Customer 91,+91-98765-10090,user91@example.com,East,Prepaid Basic,Month-to-Month,UPI/Credit Card,3,1073.72,3229.27,265.8,444.6,743.6,15.5,26.0,43.5,1,2,5,5,3,2,1
CUST-10091,Customer 92,+91-98765-10091,user92@example.com,North,Postpaid Premium,Month-to-Month,Mailed Check,69,1369.47,95706.63,322.0,458.6,653.2,12.3,17.6,25.0,2,3,5,4,2,2,1
CUST-10092,Customer 93,+91-98765-10092,user93@example.com,East,Prepaid Basic,Month-to-Month,Electronic Check,23,1178.45,27072.68,83.1,108.7,142.3,35.8,46.8,61.3,1,2,3,6,2,2,1
CUST-10093,Customer 94,+91-98765-10093,user94@example.com,East,Prepaid Unlimited,Month-to-Month,Electronic Check,53,909.03,50412.86,485.7,657.9,891.2,41.9,56.7,76.8,2,3,5,5,1,0,1
CUST-10094,Customer 95,+91-98765-10094,user95@example.com,North,Prepaid Unlimited,Month-to-Month,Auto-Debit,37,1489.2,53819.77,565.8,685.9,831.5,45.1,54.7,66.3,2,3,4,6,1,1,1
CUST-10095,Customer 96,+91-98765-10095,user96@example.com,East,Postpaid Standard,One Year,Auto-Debit,9,618.33,6060.22,663.5,680.7,698.3,25.9,26.6,27.3,1,1,1,3,2,2,0
CUST-10096,Customer 97,+91-98765-10096,user97@example.com,Central,Prepaid Unlimited,Two Year,UPI/Credit Card,15,1298.83,19411.55,434.2,419.5,405.2,79.8,77.1,74.5,1,1,1,3,2,1,0
CUST-10097,Customer 98,+91-98765-10097,user98@example.com,South,Prepaid Basic,One Year,Auto-Debit,3,811.15,2468.11,84.5,117.5,163.5,15.2,21.1,29.4,1,1,2,6,2,2,1
CUST-10098,Customer 99,+91-98765-10098,user99@example.com,South,Prepaid Unlimited,Two Year,Mailed Check,70,1077.48,80334.14,633.8,627.9,622.0,22.0,21.8,21.6,4,4,4,2,2,1,0
CUST-10099,Customer 100,+91-98765-10099,user100@example.com,North,Prepaid Unlimited,Month-to-Month,Mailed Check,17,1171.72,19023.81,434.2,569.8,747.7,41.0,53.8,70.6,1,2,3,5,3,2,1
CUST-10100,Customer 101,+91-98765-10100,user101@example.com,West,Prepaid Basic,Two Year,Auto-Debit,26,1059.5,25206.62,167.4,175.9,184.8,77.1,81.0,85.1,1,1,1,3,3,2,0
CUST-10101,Customer 102,+91-98765-10101,user102@example.com,North,Prepaid Unlimited,Month-to-Month,Auto-Debit,21,467.61,10227.89,652.0,661.1,670.4,49.3,50.0,50.7,4,4,5,2,2,2,0
CUST-10102,Customer 103,+91-98765-10102,user103@example.com,West,Prepaid Basic,Two Year,Auto-Debit,21,830.54,17382.08,380.3,368.8,357.7,59.0,57.2,55.5,2,2,2,2,2,2,0
CUST-10103,Customer 104,+91-98765-10103,user104@example.com,South,Prepaid Basic,Two Year,Auto-Debit,11,972.73,11548.55,837.3,812.2,787.8,35.9,34.8,33.8,2,2,2,2,2,2,0
CUST-10104,Customer 105,+91-98765-10104,user105@example.com,North,Prepaid Unlimited,One Year,UPI/Credit Card,38,1317.85,54912.66,626.5,605.8,585.7,55.6,53.8,52.0,1,1,1,3,3,2,0
CUST-10105,Customer 106,+91-98765-10105,user106@example.com,Central,Prepaid Basic,Two Year,UPI/Credit Card,35,831.37,28510.81,201.8,208.8,216.1,16.3,16.9,17.5,3,3,4,2,2,2,0
CUST-10106,Customer 107,+91-98765-10106,user107@example.com,East,Prepaid Unlimited,Month-to-Month,Auto-Debit,14,1401.5,19289.17,198.9,337.9,573.9,33.2,56.4,95.8,1,1,2,4,2,2,1
CUST-10107,Customer 108,+91-98765-10107,user108@example.com,West,Prepaid Unlimited,Month-to-Month,Mailed Check,14,827.45,11371.06,240.9,331.5,456.2,42.8,58.9,81.0,1,1,1,6,3,2,1
CUST-10108,Customer 109,+91-98765-10108,user109@example.com,East,Postpaid Standard,Month-to-Month,UPI/Credit Card,10,957.54,9239.41,96.4,159.0,262.3,25.2,41.5,68.5,1,2,4,5,2,1,1
CUST-10109,Customer 110,+91-98765-10109,user110@example.com,East,Prepaid Basic,Month-to-Month,Mailed Check,12,1254.54,15902.61,484.8,644.8,857.4,31.7,42.2,56.1,1,1,1,6,2,1,1
CUST-10110,Customer 111,+91-98765-10110,user111@example.com,North,Prepaid Basic,Month-to-Month,Electronic Check,38,998.68,39915.61,51.8,75.5,109.9,37.9,55.2,80.3,1,1,1,2,0,0,0
CUST-10111,Customer 112,+91-98765-10111,user112@example.com,East,Prepaid Basic,One Year,Mailed Check,34,1451.26,49132.1,377.5,379.2,380.9,51.5,51.8,52.0,3,3,4,3,3,2,0
CUST-10112,Customer 113,+91-98765-10112,user113@example.com,Central,Prepaid Unlimited,Two Year,Auto-Debit,41,1091.4,40672.35,122.1,116.6,111.3,36.8,35.1,33.5,4,4,4,1,1,1,0
CUST-10113,Customer 114,+91-98765-10113,user114@example.com,East,Postpaid Standard,Month-to-Month,Electronic Check,10,926.25,8909.71,109.9,143.1,186.4,11.9,15.5,20.2,2,3,4,6,2,1,1
CUST-10114,Customer 115,+91-98765-10114,user115@example.com,North,Prepaid Basic,One Year,UPI/Credit Card,17,327.31,5333.13,377.1,372.2,367.4,68.3,67.4,66.5,1,1,1,2,2,1,0
CUST-10115,Customer 116,+91-98765-10115,user116@example.com,Central,Postpaid Premium,Two Year,UPI/Credit Card,17,795.48,14364.54,144.9,146.8,148.8,90.8,92.1,93.3,1,1,2,2,2,1,0
CUST-10116,Customer 117,+91-98765-10116,user117@example.com,South,Prepaid Basic,Two Year,Electronic Check,67,658.1,40455.72,666.9,651.8,637.0,20.5,20.1,19.6,3,3,3,3,2,1,0
CUST-10117,Customer 118,+91-98765-10117,user118@example.com,East,Prepaid Unlimited,Two Year,Mailed Check,62,1196.73,78733.32,178.0,178.1,178.2,22.1,22.1,22.1,2,2,3,1,1,1,0
CUST-10118,Customer 119,+91-98765-10118,user119@example.com,North,Postpaid Standard,Month-to-Month,UPI/Credit Card,1,548.93,567.5,356.1,510.4,731.5,22.5,32.2,46.2,1,1,1,2,0,0,1
CUST-10119,Customer 120,+91-98765-10119,user120@example.com,South,Postpaid Standard,Two Year,Auto-Debit,12,545.26,6847.3,150.6,149.0,147.4,83.5,82.6,81.7,1,1,1,2,1,1,0
CUST-10120,Customer 121,+91-98765-10120,user121@example.com,South,Postpaid Standard,One Year,Electronic Check,4,526.42,2077.13,163.5,158.4,153.4,35.1,34.0,32.9,2,2,2,2,1,0,0
CUST-10121,Customer 122,+91-98765-10121,user122@example.com,West,Postpaid Standard,Month-to-Month,Auto-Debit,42,449.74,19568.05,251.7,307.2,374.8,19.5,23.8,29.1,2,3,4,4,0,0,1
CUST-10122,Customer 123,+91-98765-10122,user123@example.com,Central,Prepaid Unlimited,Month-to-Month,Electronic Check,13,672.21,8929.28,856.3,881.2,906.9,60.3,62.1,63.9,1,1,1,3,3,2,0
CUST-10123,Customer 124,+91-98765-10123,user124@example.com,East,Postpaid Standard,One Year,UPI/Credit Card,4,1362.11,5741.54,289.0,442.4,677.3,23.8,36.5,55.9,2,3,5,5,3,2,0
CUST-10124,Customer 125,+91-98765-10124,user125@example.com,North,Prepaid Basic,Month-to-Month,Mailed Check,69,1228.91,83892.06,543.4,656.5,793.1,7.3,8.9,10.7,2,3,4,6,2,2,0
CUST-10125,Customer 126,+91-98765-10125,user126@example.com,West,Postpaid Standard,One Year,Electronic Check,19,1181.3,22322.72,216.0,221.6,227.4,12.1,12.4,12.7,1,1,1,2,2,1,0
CUST-10126,Customer 127,+91-98765-10126,user127@example.com,Central,Prepaid Unlimited,One Year,Electronic Check,2,1255.8,2583.72,260.0,470.3,850.7,20.2,36.5,66.1,1,2,5,7,3,2,1
CUST-10127,Customer 128,+91-98765-10127,user128@example.com,West,Postpaid Standard,Month-to-Month,Auto-Debit,12,622.3,6882.26,116.5,111.8,107.3,53.4,51.3,49.2,2,2,2,2,1,1,0
CUST-10128,Customer 129,+91-98765-10128,user129@example.com,Central,Prepaid Unlimited,Month-to-Month,UPI/Credit Card,6,1363.93,8079.23,114.0,182.4,291.8,38.0,60.8,97.2,1,3,5,6,1,1,1
CUST-10129,Customer 130,+91-98765-10129,user130@example.com,Central,Prepaid Unlimited,One Year,Auto-Debit,8,463.76,4060.28,623.6,638.9,654.5,66.2,67.8,69.5,1,1,1,3,3,2,0
